lat,lon,latxx,lonxx
18.768109,98.973931,18.77,98.97
18.807279,99.018121,18.81,99.02
18.808899,98.996988,18.81,99
18.76589,99.036571,18.77,99.04
18.80245,98.967268,18.8,98.97
18.796614,98.975909,18.8,98.98
18.768896,98.976244,18.77,98.98
18.823788,99.010889,18.82,99.01
18.825005,99.01115,18.83,99.01
18.781697,98.999412,18.78,99
18.772395,98.999188,18.77,99
18.743297,98.962954,18.74,98.96
18.771926,98.977558,18.77,98.98
18.796684,98.981084,18.8,98.98
18.699769,98.930624,18.7,98.93
18.782125,98.999804,18.78,99
18.800117,98.968306,18.8,98.97
18.740907,98.958926,18.74,98.96
18.76886,99.033031,18.77,99.03
18.798483,99.022354,18.8,99.02
18.796214,98.981064,18.8,98.98
18.800047,99.018676,18.8,99.02
18.744803,99.035417,18.74,99.04
18.786085,99.000528,18.79,99
18.769193,98.968353,18.77,98.97
18.725262,98.947685,18.73,98.95
18.795565,99.022792,18.8,99.02
18.767126,98.973656,18.77,98.97
18.744279,99.000636,18.74,99
18.785014,99.028449,18.79,99.03
18.743652,98.961747,18.74,98.96
18.801228,98.967571,18.8,98.97
18.791198,98.959462,18.79,98.96
18.665901,99.05058,18.67,99.05
18.824045,99.013745,18.82,99.01
18.759061,98.972904,18.76,98.97
18.429617,98.681402,18.43,98.68
